fasta_header                                                                              ,Virus name                                   ,Location                                             ,Collection date,Originating lab                                                                                                                                                                                                                 ,Submitting lab                                                                                                                                                                                                                                              ,Authors
hCoV-19/Netherlands/Helmond_1363548/2020|EPI_ISL_413574|Europe|Netherlands|2020-02-29     ,hCoV-19/Netherlands/Helmond_1363548/2020     ,Europe/Netherlands/Helmond                           ,2020-02-29     ,MHC West-Brabant                                                                                                                                                                                                                ,Erasmus Medical Center                                                                                                                                                                                                                                      ,"David Nieuwenhuijse, Bas Oude Munnink, Reina Sikkema, Claudia Schapendonk, Irina Chestakova, Anne van der Linden, Mark Pronk, Pascal Lexmond, Corien Swaan, Manon Haverkate, Madelief Mollers, Mart Stein, Sandra Kengne Kamga Mobou, Jeroen van Kampen, Jolanda Voermans, Aura Timen, Corine GeurtsvanKessel, Annemiek van der Eijk, Richard Molenkamp, Marion Koopmans, on behalf of the Dutch national COVID-19 response team."
hCoV-19/NetherlandsL/Houten_1363498/2020|EPI_ISL_413575|Europe|Netherlands|2020-02-29     ,hCoV-19/NetherlandsL/Houten_1363498/2020     ,Europe/Netherlands/Houten                            ,2020-02-29     ,RIVM                                                                                                                                                                                                                            ,Erasmus Medical Center                                                                                                                                                                                                                                      ,"David Nieuwenhuijse, Bas Oude Munnink, Reina Sikkema, Claudia Schapendonk, Irina Chestakova, Anne van der Linden, Mark Pronk, Pascal Lexmond, Corien Swaan, Manon Haverkate, Madelief Mollers, Mart Stein, Sandra Kengne Kamga Mobou, Jeroen van Kampen, Jolanda Voermans, Aura Timen, Corine GeurtsvanKessel, Annemiek van der Eijk, Richard Molenkamp, Marion Koopmans, on behalf of the Dutch national COVID-19 response team."
hCoV-19/Netherlands/Loon_op_zand_1363512/2020|EPI_ISL_413576|Europe|Netherlands|2020-02-29,hCoV-19/Netherlands/Loon_op_zand_1363512/2020,Europe/Netherlands/Loonopzand                        ,2020-02-29     ,RIVM                                                                                                                                                                                                                            ,Erasmus Medical Center                                                                                                                                                                                                                                      ,"David Nieuwenhuijse, Bas Oude Munnink, Reina Sikkema, Claudia Schapendonk, Irina Chestakova, Anne van der Linden, Mark Pronk, Pascal Lexmond, Corien Swaan, Manon Haverkate, Madelief Mollers, Mart Stein, Sandra Kengne Kamga Mobou, Jeroen van Kampen, Jolanda Voermans, Aura Timen, Corine GeurtsvanKessel, Annemiek van der Eijk, Richard Molenkamp, Marion Koopmans, on behalf of the Dutch national COVID-19 response team."
hCoV-19/Japan/DP0476/2020|EPI_ISL_416604|Asia|Japan|2020-02-16                            ,hCoV-19/Japan/DP0476/2020                    ,Asia/Japan/unknown                                   ,2020-02-16     ,Japanese Quarantine Stations                                                                                                                                                                                                    ,"Pathogen Genomics Center, National Institute of Infectious Diseases"                                                                                                                                                                                       ,"Tsuyoshi Sekizuka, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Tsutomu Kageyama, Shinji Saito, Ikuyo Takayama, Hideki Hasegawa, Takuri Takahashi, Hajime Kamiya, Takuya Yamagishi, Motoi Suzuki, Takaji Wakita, Makoto Kuroda"
hCoV-19/Netherlands/Limburg_4/2020|EPI_ISL_414426|Europe|Netherlands|2020-03-03           ,hCoV-19/Netherlands/Limburg_4/2020           ,Europe/Netherlands/Limburg                           ,2020-03-03     ,Dutch COVID-19 response team                                                                                                                                                                                                    ,Erasmus Medical Center                                                                                                                                                                                                                                      ,"David Nieuwenhuijse, Bas Oude Munnink, Reina Sikkema, Claudia Schapendonk, Irina Chestakova, Anne van der Linden, Mark Pronk, Pascal Lexmond, Corien Swaan, Manon Haverkate, Madelief Mollers, Mart Stein, Sandra Kengne Kamga Mobou, Jeroen van Kampen, Jolanda Voermans, Aura Timen, Corine GeurtsvanKessel, Annemiek van der Eijk, Richard Molenkamp, Marion Koopmans, on behalf of the Dutch national COVID-19 response team."
hCoV-19/Japan/DP0457/2020|EPI_ISL_416601|Asia|Japan|2020-02-16                            ,hCoV-19/Japan/DP0457/2020                    ,Asia/Japan/unknown                                   ,2020-02-16     ,Japanese Quarantine Stations                                                                                                                                                                                                    ,"Pathogen Genomics Center, National Institute of Infectious Diseases"                                                                                                                                                                                       ,"Tsuyoshi Sekizuka, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Tsutomu Kageyama, Shinji Saito, Ikuyo Takayama, Hideki Hasegawa, Takuri Takahashi, Hajime Kamiya, Takuya Yamagishi, Motoi Suzuki, Takaji Wakita, Makoto Kuroda"
hCoV-19/Netherlands/Delft_1363424/2020|EPI_ISL_413569|Europe|Netherlands|2020-02-28       ,hCoV-19/Netherlands/Delft_1363424/2020       ,Europe/Netherlands/Delft                             ,2020-02-28     ,RIVM                                                                                                                                                                                                                            ,Erasmus Medical Center                                                                                                                                                                                                                                      ,"David Nieuwenhuijse, Bas Oude Munnink, Reina Sikkema, Claudia Schapendonk, Irina Chestakova, Anne van der Linden, Mark Pronk, Pascal Lexmond, Corien Swaan, Manon Haverkate, Madelief Mollers, Mart Stein, Sandra Kengne Kamga Mobou, Jeroen van Kampen, Jolanda Voermans, Aura Timen, Corine GeurtsvanKessel, Annemiek van der Eijk, Richard Molenkamp, Marion Koopmans, on behalf of the Dutch national COVID-19 response team."
hCoV-19/Netherlands/NoordBrabant_12/2020|EPI_ISL_414452|Europe|Netherlands|2020-03-06     ,hCoV-19/Netherlands/NoordBrabant_12/2020     ,Europe/Netherlands/NoordBrabant                      ,2020-03-06     ,Dutch COVID-19 response team                                                                                                                                                                                                    ,Erasmus Medical Center                                                                                                                                                                                                                                      ,"David Nieuwenhuijse, Bas Oude Munnink, Reina Sikkema, Claudia Schapendonk, Irina Chestakova, Anne van der Linden, Mark Pronk, Pascal Lexmond, Corien Swaan, Manon Haverkate, Madelief Mollers, Mart Stein, Sandra Kengne Kamga Mobou, Jeroen van Kampen, Jolanda Voermans, Aura Timen, Corine GeurtsvanKessel, Annemiek van der Eijk, Richard Molenkamp, Marion Koopmans, on behalf of the Dutch national COVID-19 response team."
hCoV-19/Japan/DP0880/2020|EPI_ISL_416633|Asia|Japan|2020-02-17                            ,hCoV-19/Japan/DP0880/2020                    ,Asia/Japan/unknown                                   ,2020-02-17     ,Japanese Quarantine Stations                                                                                                                                                                                                    ,"Pathogen Genomics Center, National Institute of Infectious Diseases"                                                                                                                                                                                       ,"Tsuyoshi Sekizuka, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Tsutomu Kageyama, Shinji Saito, Ikuyo Takayama, Hideki Hasegawa, Takuri Takahashi, Hajime Kamiya, Takuya Yamagishi, Motoi Suzuki, Takaji Wakita, Makoto Kuroda"
hCoV-19/Spain/Madrid_H9_38/2020|EPI_ISL_417961|Europe|Spain|2020-03-12                    ,hCoV-19/Spain/Madrid_H9_38/2020              ,Europe/Spain/Madrid                                  ,2020-03-12     ,Hospital Universitario 12 de Octubre                                                                                                                                                                                            ,Hospital Universitario La Paz                                                                                                                                                                                                                               ,"Elias Dahdouh, Sara González, Fernando Lázaro, Esther Viedma, Natalia Stella, Julio García, Juan Carlos Galán, Rafael Cantón, Mª Dolores Folgueira, Rafael Delgado, Jesús Mingorance  "
hCoV-19/Netherlands/NoordBrabant_17/2020|EPI_ISL_414457|Europe|Netherlands|2020-03-06     ,hCoV-19/Netherlands/NoordBrabant_17/2020     ,Europe/Netherlands/NoordBrabant                      ,2020-03-06     ,Dutch COVID-19 response team                                                                                                                                                                                                    ,Erasmus Medical Center                                                                                                                                                                                                                                      ,"David Nieuwenhuijse, Bas Oude Munnink, Reina Sikkema, Claudia Schapendonk, Irina Chestakova, Anne van der Linden, Mark Pronk, Pascal Lexmond, Corien Swaan, Manon Haverkate, Madelief Mollers, Mart Stein, Sandra Kengne Kamga Mobou, Jeroen van Kampen, Jolanda Voermans, Aura Timen, Corine GeurtsvanKessel, Annemiek van der Eijk, Richard Molenkamp, Marion Koopmans, on behalf of the Dutch national COVID-19 response team."
hCoV-19/Spain/Madrid_H11_40/2020|EPI_ISL_417967|Europe|Spain|2020-03-12                   ,hCoV-19/Spain/Madrid_H11_40/2020             ,Europe/Spain/Madrid                                  ,2020-03-12     ,Hospital Universitario 12 de Octubre                                                                                                                                                                                            ,Hospital Universitario La Paz                                                                                                                                                                                                                               ,"Elias Dahdouh, Sara González, Fernando Lázaro, Esther Viedma, Natalia Stella, Julio García, Juan Carlos Galán, Rafael Cantón, Mª Dolores Folgueira, Rafael Delgado, Jesús Mingorance  "
hCoV-19/Peru/010/2020|EPI_ISL_415787|SouthAmerica|Peru|2020-03-10                         ,hCoV-19/Peru/010/2020                        ,SouthAmerica/Peru/Lima                               ,2020-03-10     ,Laboratorio de Referencia Nacional de Virus Respiratorio. Instituto Nacional de Salud. Peru                                                                                                                                     ,Laboratorio de Referencia Nacional de Biotecnologia y Biologia Molecular.Instituto Nacional de Salud.Peru                                                                                                                                                   ,"Carlos Padilla Rojas, Priscila Lope Pari, Karolyn Vega Chozo, Johanna Balbuena Torres, Omar Caceres Rey, Hemri Bailon Calderon, Maribel Huaringa Nuñez, Nancy Rojas Serrano"
hCoV-19/USA/UT-00015/2020|EPI_ISL_417965|NorthAmerica|USA|2020-03-24                      ,hCoV-19/USA/UT-00015/2020                    ,NorthAmerica/USA/Utah                                ,2020-03-24     ,Utah Public Health Laboratory                                                                                                                                                                                                   ,Utah Public Health Laboratory                                                                                                                                                                                                                               ,"Erin Young, Kelly Oakeson"
hCoV-19/USA/UT-00010/2020|EPI_ISL_417958|NorthAmerica|USA|2020-03-24                      ,hCoV-19/USA/UT-00010/2020                    ,NorthAmerica/USA/Utah                                ,2020-03-24     ,Utah Public Health Laboratory                                                                                                                                                                                                   ,Utah Public Health Laboratory                                                                                                                                                                                                                               ,"Erin Young, Kelly Oakeson"
hCoV-19/USA/UT-00011/2020|EPI_ISL_417959|NorthAmerica|USA|2020-03-24                      ,hCoV-19/USA/UT-00011/2020                    ,NorthAmerica/USA/Utah                                ,2020-03-24     ,Utah Public Health Laboratory                                                                                                                                                                                                   ,Utah Public Health Laboratory                                                                                                                                                                                                                               ,"Erin Young, Kelly Oakeson"
hCoV-19/Taiwan/NTU03/2020|EPI_ISL_413592|Asia|Taiwan|2020-03-02                           ,hCoV-19/Taiwan/NTU03/2020                    ,Asia/Taiwan/Taipei                                   ,2020-03-02     ,"Department of Laboratory Medicine, National Taiwan University Hospital"                                                                                                                                                        ,"Microbial Genomics Core Lab, National Taiwan University Centers of Genomic and Precision Medicine"                                                                                                                                                         ,"Shiou-Hwei Yeh, You-Yu Lin, Ya-Yun Lai, Chiao-Ling Li, Shan-Chwen Chang, Pei-Jer Chen, Sui-Yuan Chang"
hCoV-19/Luxembourg/Lux1/2020|EPI_ISL_413593|Europe|Luxembourg|2020-02-29                  ,hCoV-19/Luxembourg/Lux1/2020                 ,Europe/Luxembourg                                    ,2020-02-29     ,Laboratoire National de Santé                                                                                                                                                                                                   ,Erasmus Medical Center                                                                                                                                                                                                                                      ,"David Nieuwenhuijse, Bas Oude Munnink, Reina Sikkema, Claudia Schapendonk, Irina Chestakova, Anne van der Linden, Mark Pronk, Pascal Lexmond, T. Abdelrahman, G. Fournier, J. Mossong, T. Nguyen, Jeroen van Kampen, Jolanda Voermans, Corine GeurtsvanKessel, Annemiek van der Eijk, Richard Molenkamp, Marion Koopmans, on behalf of the Dutch national COVID-19 response team."
hCoV-19/Spain/Madrid_H2_16/2020|EPI_ISL_417952|Europe|Spain|2020-03-09                    ,hCoV-19/Spain/Madrid_H2_16/2020              ,Europe/Spain/Madrid                                  ,2020-03-09     ,Hospital Universitario 12 de Octubre                                                                                                                                                                                            ,Hospital Universitario La Paz                                                                                                                                                                                                                               ,"Elias Dahdouh, Sara González, Fernando Lázaro, Esther Viedma, Natalia Stella, Julio García, Juan Carlos Galán, Rafael Cantón, Mª Dolores Folgueira, Rafael Delgado, Jesús Mingorance  "
hCoV-19/Australia/NSW09/2020|EPI_ISL_413595|Oceania|Australia|2020-02-28                  ,hCoV-19/Australia/NSW09/2020                 ,Oceania/Australia/NSW/Sydney                         ,2020-02-28     ,Centre for Infectious Diseases and Microbiology Laboratory Services                                                                                                                                                             ,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney                                                                                                                                        ,"Rockett R, Eden J-S, Lam C, Gray K, Timms, V, Gall, M, Carter I, Rahman H, Holmes EC, O’Sullivan MV, Sintchenko V, Chen SC, Maddocks S, Kok J and Dwyer DE for the 2019-nCoV Study Group*"
hCoV-19/Japan/DP0752/2020|EPI_ISL_416622|Asia|Japan|2020-02-17                            ,hCoV-19/Japan/DP0752/2020                    ,Asia/Japan/unknown                                   ,2020-02-17     ,Japanese Quarantine Stations                                                                                                                                                                                                    ,"Pathogen Genomics Center, National Institute of Infectious Diseases"                                                                                                                                                                                       ,"Tsuyoshi Sekizuka, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Tsutomu Kageyama, Shinji Saito, Ikuyo Takayama, Hideki Hasegawa, Takuri Takahashi, Hajime Kamiya, Takuya Yamagishi, Motoi Suzuki, Takaji Wakita, Makoto Kuroda"
hCoV-19/Congo/158/2020|EPI_ISL_417950|Africa|Congo|2020-03-20                             ,hCoV-19/Congo/158/2020                       ,Africa/Congo/Kinshasa                                ,2020-03-20     ,"Viral Respiratory Lab, National Institute for Biomedical Research (INRB)"                                                                                                                                                      ,"Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)"                                                                                                                                                                                ,"Placide Mbala-Kingebeni, Edith Nkwembe, Eddy Kinganda-Lusamaki, Amuri Aziza, Catherine Pratt, Matthias Pauthner, Josh Quick, Allison Black, James Hadfield, Trevor Bedford, Ian Goodfellow, Nick Loman, Kristian Andersen, Michael Wiley, Steve Ahuka-Mundeke, Jean-Jacques Muyembe Tamfum"
hCoV-19/Australia/NSW11/2020|EPI_ISL_413597|Oceania|Australia|2020-03-02                  ,hCoV-19/Australia/NSW11/2020                 ,Oceania/Australia/NSW/Sydney                         ,2020-03-02     ,Centre for Infectious Diseases and Microbiology- Public Health                                                                                                                                                                  ,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney                                                                                                                                        ,"Lam C, Eden J-S, Rockett R, Gray K, Timms, V, Gall, M, Carter I, Rahman H, Holmes EC, O’Sullivan MV, Sintchenko V, Chen SC, Maddocks S, Kok J and Dwyer DE for the 2019-nCoV Study Group*"
hCoV-19/Japan/DP0724/2020|EPI_ISL_416620|Asia|Japan|2020-02-17                            ,hCoV-19/Japan/DP0724/2020                    ,Asia/Japan/unknown                                   ,2020-02-17     ,Japanese Quarantine Stations                                                                                                                                                                                                    ,"Pathogen Genomics Center, National Institute of Infectious Diseases"                                                                                                                                                                                       ,"Tsuyoshi Sekizuka, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Tsutomu Kageyama, Shinji Saito, Ikuyo Takayama, Hideki Hasegawa, Takuri Takahashi, Hajime Kamiya, Takuya Yamagishi, Motoi Suzuki, Takaji Wakita, Makoto Kuroda"
hCoV-19/Japan/DP0765/2020|EPI_ISL_416625|Asia|Japan|2020-02-17                            ,hCoV-19/Japan/DP0765/2020                    ,Asia/Japan/unknown                                   ,2020-02-17     ,Japanese Quarantine Stations                                                                                                                                                                                                    ,"Pathogen Genomics Center, National Institute of Infectious Diseases"                                                                                                                                                                                       ,"Tsuyoshi Sekizuka, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Tsutomu Kageyama, Shinji Saito, Ikuyo Takayama, Hideki Hasegawa, Takuri Takahashi, Hajime Kamiya, Takuya Yamagishi, Motoi Suzuki, Takaji Wakita, Makoto Kuroda"
hCoV-19/Netherlands/ZuidHolland_9/2020|EPI_ISL_414445|Europe|Netherlands|2020-03-03       ,hCoV-19/Netherlands/ZuidHolland_9/2020       ,Europe/Netherlands/ZuidHolland                       ,2020-03-03     ,Dutch COVID-19 response team                                                                                                                                                                                                    ,Erasmus Medical Center                                                                                                                                                                                                                                      ,"David Nieuwenhuijse, Bas Oude Munnink, Reina Sikkema, Claudia Schapendonk, Irina Chestakova, Anne van der Linden, Mark Pronk, Pascal Lexmond, Corien Swaan, Manon Haverkate, Madelief Mollers, Mart Stein, Sandra Kengne Kamga Mobou, Jeroen van Kampen, Jolanda Voermans, Aura Timen, Corine GeurtsvanKessel, Annemiek van der Eijk, Richard Molenkamp, Marion Koopmans, on behalf of the Dutch national COVID-19 response team."
hCoV-19/Japan/DP0779/2020|EPI_ISL_416626|Asia|Japan|2020-02-17                            ,hCoV-19/Japan/DP0779/2020                    ,Asia/Japan/unknown                                   ,2020-02-17     ,Japanese Quarantine Stations                                                                                                                                                                                                    ,"Pathogen Genomics Center, National Institute of Infectious Diseases"                                                                                                                                                                                       ,"Tsuyoshi Sekizuka, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Tsutomu Kageyama, Shinji Saito, Ikuyo Takayama, Hideki Hasegawa, Takuri Takahashi, Hajime Kamiya, Takuya Yamagishi, Motoi Suzuki, Takaji Wakita, Makoto Kuroda"
hCoV-19/Spain/Madrid_H7_36/2020|EPI_ISL_417957|Europe|Spain|2020-03-12                    ,hCoV-19/Spain/Madrid_H7_36/2020              ,Europe/Spain/Madrid                                  ,2020-03-12     ,Hospital Universitario 12 de Octubre                                                                                                                                                                                            ,Hospital Universitario La Paz                                                                                                                                                                                                                               ,"Elias Dahdouh, Sara González, Fernando Lázaro, Esther Viedma, Natalia Stella, Julio García, Juan Carlos Galán, Rafael Cantón, Mª Dolores Folgueira, Rafael Delgado, Jesús Mingorance  "
hCoV-19/Netherlands/Limburg_5/2020|EPI_ISL_414448|Europe|Netherlands|2020-03-04           ,hCoV-19/Netherlands/Limburg_5/2020           ,Europe/Netherlands/Limburg                           ,2020-03-04     ,Dutch COVID-19 response team                                                                                                                                                                                                    ,Erasmus Medical Center                                                                                                                                                                                                                                      ,"David Nieuwenhuijse, Bas Oude Munnink, Reina Sikkema, Claudia Schapendonk, Irina Chestakova, Anne van der Linden, Mark Pronk, Pascal Lexmond, Corien Swaan, Manon Haverkate, Madelief Mollers, Mart Stein, Sandra Kengne Kamga Mobou, Jeroen van Kampen, Jolanda Voermans, Aura Timen, Corine GeurtsvanKessel, Annemiek van der Eijk, Richard Molenkamp, Marion Koopmans, on behalf of the Dutch national COVID-19 response team."
hCoV-19/Spain/Madrid_H3_10/2020|EPI_ISL_417954|Europe|Spain|2020-03-12                    ,hCoV-19/Spain/Madrid_H3_10/2020              ,Europe/Spain/Madrid                                  ,2020-03-12     ,Hospital Universitario 12 de Octubre                                                                                                                                                                                            ,Hospital Universitario La Paz                                                                                                                                                                                                                               ,"Elias Dahdouh, Sara González, Fernando Lázaro, Esther Viedma, Natalia Stella, Julio García, Juan Carlos Galán, Rafael Cantón, Mª Dolores Folgueira, Rafael Delgado, Jesús Mingorance  "
hCoV-19/Congo/94/2020|EPI_ISL_417947|Africa|Congo|2020-03-19                              ,hCoV-19/Congo/94/2020                        ,Africa/Congo/Kinshasa                                ,2020-03-19     ,"Viral Respiratory Lab, National Institute for Biomedical Research (INRB)"                                                                                                                                                      ,"Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)"                                                                                                                                                                                ,"Placide Mbala-Kingebeni, Edith Nkwembe, Eddy Kinganda-Lusamaki, Amuri Aziza, Catherine Pratt, Matthias Pauthner, Josh Quick, Allison Black, James Hadfield, Trevor Bedford, Ian Goodfellow, Nick Loman, Kristian Andersen, Michael Wiley, Steve Ahuka-Mundeke, Jean-Jacques Muyembe Tamfum"
hCoV-19/Congo/108/2020|EPI_ISL_417948|Africa|Congo|2020-03-19                             ,hCoV-19/Congo/108/2020                       ,Africa/Congo/Kinshasa                                ,2020-03-19     ,"Viral Respiratory Lab, National Institute for Biomedical Research (INRB)"                                                                                                                                                      ,"Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)"                                                                                                                                                                                ,"Placide Mbala-Kingebeni, Edith Nkwembe, Eddy Kinganda-Lusamaki, Amuri Aziza, Catherine Pratt, Matthias Pauthner, Josh Quick, Allison Black, James Hadfield, Trevor Bedford, Ian Goodfellow, Nick Loman, Kristian Andersen, Michael Wiley, Steve Ahuka-Mundeke, Jean-Jacques Muyembe Tamfum"
hCoV-19/USA/WA-UW112/2020|EPI_ISL_416650|NorthAmerica|USA|2020-03-10                      ,hCoV-19/USA/WA-UW112/2020                    ,NorthAmerica/USA                                     ,2020-03-10     ,UW Virology Lab                                                                                                                                                                                                                 ,UW Virology Lab                                                                                                                                                                                                                                             ,"Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger"
hCoV-19/Spain/Madrid_R10_33/2020|EPI_ISL_417981|Europe|Spain|2020-03-02                   ,hCoV-19/Spain/Madrid_R10_33/2020             ,Europe/Spain/Madrid                                  ,2020-03-02     ,Hospital Universitario Ramón y Cajal                                                                                                                                                                                            ,Hospital Universitario La Paz                                                                                                                                                                                                                               ,"Elias Dahdouh, Sara González, Fernando Lázaro, Esther Viedma, Natalia Stella, Julio García, Juan Carlos Galán, Rafael Cantón, Mª Dolores Folgueira, Rafael Delgado, Jesús Mingorance  "
hCoV-19/USA/WA-UW113/2020|EPI_ISL_416651|NorthAmerica|USA|2020-03-11                      ,hCoV-19/USA/WA-UW113/2020                    ,NorthAmerica/USA                                     ,2020-03-11     ,UW Virology Lab                                                                                                                                                                                                                 ,UW Virology Lab                                                                                                                                                                                                                                             ,"Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger"
hCoV-19/Spain/Madrid_R5_8/2020|EPI_ISL_417980|Europe|Spain|2020-03-03                     ,hCoV-19/Spain/Madrid_R5_8/2020               ,Europe/Spain/Madrid                                  ,2020-03-03     ,Hospital Universitario Ramón y Cajal                                                                                                                                                                                            ,Hospital Universitario La Paz                                                                                                                                                                                                                               ,"Elias Dahdouh, Sara González, Fernando Lázaro, Esther Viedma, Natalia Stella, Julio García, Juan Carlos Galán, Rafael Cantón, Mª Dolores Folgueira, Rafael Delgado, Jesús Mingorance  "
hCoV-19/USA/WA-UW117/2020|EPI_ISL_416655|NorthAmerica|USA|2020-03-11                      ,hCoV-19/USA/WA-UW117/2020                    ,NorthAmerica/USA/Washington                          ,2020-03-11     ,UW Virology Lab                                                                                                                                                                                                                 ,UW Virology Lab                                                                                                                                                                                                                                             ,"Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger"
hCoV-19/CzechRepublic/951/2020|EPI_ISL_414477|Europe|CzechRepublic|2020-03-01             ,hCoV-19/CzechRepublic/951/2020               ,Europe/CzechRepublic/UstinadLabem                    ,2020-03-01     ,The National Institute of Public Health Center for Epidemiology and Microbiology                                                                                                                                                ,State Veterinary Institute Prague                                                                                                                                                                                                                           ,"Alexander Nagy, Oldrich Bartos, Helena Jirincova, Klara Labska, Ludmila Novakova, Olga Storkanova, Dusan Trnka, Jaromira Vecerova"
hCoV-19/USA/WA-UW114/2020|EPI_ISL_416652|NorthAmerica|USA|2020-03-11                      ,hCoV-19/USA/WA-UW114/2020                    ,NorthAmerica/USA/Washington                          ,2020-03-11     ,UW Virology Lab                                                                                                                                                                                                                 ,UW Virology Lab                                                                                                                                                                                                                                             ,"Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger"
hCoV-19/USA/NY1-PV08001/2020|EPI_ISL_414476|NorthAmerica|USA|2020-02-29                   ,hCoV-19/USA/NY1-PV08001/2020                 ,NorthAmerica/USA/NewYork                             ,2020-02-29     ,MSHS Clinical Microbiology Laboratories                                                                                                                                                                                         ,MSHS Pathogen Surveillance Program                                                                                                                                                                                                                          ,"Gopi Patel, Emilia Sordillo, Melissa Gitman, Alberto Paniz-mondolfi, Matthew Hernandez, Shelcie Fabre, Jose Polanco, Ana Sylvia Gonzalez-Reiche, Zenab Khan, Nancy Francoeur, Melissa Smith, Robert Sebra, Lisa Miorin, Wen-chun Liu, Randy Albrecht, Judith Aberg, Florian Krammer, Adolfo Garcia-Sarstre, Viviana Simon, Harm van Bakel"
hCoV-19/Portugal/PT0005/2020|EPI_ISL_417989|Europe|Portugal|2020-03-04                    ,hCoV-19/Portugal/PT0005/2020                 ,Europe/Portugal                                      ,2020-03-04     ,"Centro Hospitalar e Universitario de Sao Joao, Porto"                                                                                                                                                                          ,Instituto Nacional de Saude (INSA)                                                                                                                                                                                                                          ,Guiomar et al
hCoV-19/USA/UT-00027/2020|EPI_ISL_417970|NorthAmerica|USA|2020-03-24                      ,hCoV-19/USA/UT-00027/2020                    ,NorthAmerica/USA/Utah                                ,2020-03-24     ,Utah Public Health Laboratory                                                                                                                                                                                                   ,Utah Public Health Laboratory                                                                                                                                                                                                                               ,"Erin Young, Kelly Oakeson"
hCoV-19/USA/WA-UW102/2020|EPI_ISL_416640|NorthAmerica|USA|2020-03-11                      ,hCoV-19/USA/WA-UW102/2020                    ,NorthAmerica/USA/Washington                          ,2020-03-11     ,UW Virology Lab                                                                                                                                                                                                                 ,UW Virology Lab                                                                                                                                                                                                                                             ,"Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger"
hCoV-19/USA/UT-00028/2020|EPI_ISL_417971|NorthAmerica|USA|2020-03-24                      ,hCoV-19/USA/UT-00028/2020                    ,NorthAmerica/USA/Utah                                ,2020-03-24     ,Utah Public Health Laboratory                                                                                                                                                                                                   ,Utah Public Health Laboratory                                                                                                                                                                                                                               ,"Erin Young, Kelly Oakeson"
hCoV-19/Netherlands/Utrecht_12/2020|EPI_ISL_414462|Europe|Netherlands|2020-03-04          ,hCoV-19/Netherlands/Utrecht_12/2020          ,Europe/Netherlands/Utrecht                           ,2020-03-04     ,Dutch COVID-19 response team                                                                                                                                                                                                    ,Erasmus Medical Center                                                                                                                                                                                                                                      ,"David Nieuwenhuijse, Bas Oude Munnink, Reina Sikkema, Claudia Schapendonk, Irina Chestakova, Anne van der Linden, Mark Pronk, Pascal Lexmond, Corien Swaan, Manon Haverkate, Madelief Mollers, Mart Stein, Sandra Kengne Kamga Mobou, Jeroen van Kampen, Jolanda Voermans, Aura Timen, Corine GeurtsvanKessel, Annemiek van der Eijk, Richard Molenkamp, Marion Koopmans, on behalf of the Dutch national COVID-19 response team."
hCoV-19/Netherlands/Utrecht_14/2020|EPI_ISL_414464|Europe|Netherlands|2020-03-04          ,hCoV-19/Netherlands/Utrecht_14/2020          ,Europe/Netherlands/Utrecht                           ,2020-03-04     ,Dutch COVID-19 response team                                                                                                                                                                                                    ,Erasmus Medical Center                                                                                                                                                                                                                                      ,"David Nieuwenhuijse, Bas Oude Munnink, Reina Sikkema, Claudia Schapendonk, Irina Chestakova, Anne van der Linden, Mark Pronk, Pascal Lexmond, Corien Swaan, Manon Haverkate, Madelief Mollers, Mart Stein, Sandra Kengne Kamga Mobou, Jeroen van Kampen, Jolanda Voermans, Aura Timen, Corine GeurtsvanKessel, Annemiek van der Eijk, Richard Molenkamp, Marion Koopmans, on behalf of the Dutch national COVID-19 response team."
hCoV-19/USA/UT-00032/2020|EPI_ISL_417974|NorthAmerica|USA|2020-03-24                      ,hCoV-19/USA/UT-00032/2020                    ,NorthAmerica/USA/Utah                                ,2020-03-24     ,Utah Public Health Laboratory                                                                                                                                                                                                   ,Utah Public Health Laboratory                                                                                                                                                                                                                               ,"Erin Young, Kelly Oakeson"
hCoV-19/Spain/Madrid_LP14_3/2020|EPI_ISL_417975|Europe|Spain|2020-03-09                   ,hCoV-19/Spain/Madrid_LP14_3/2020             ,Europe/Spain/Madrid                                  ,2020-03-09     ,Hospital Universitario La Paz                                                                                                                                                                                                   ,Hospital Universitario La Paz                                                                                                                                                                                                                               ,"Elias Dahdouh, Sara González, Fernando Lázaro, Esther Viedma, Natalia Stella, Julio García, Juan Carlos Galán, Rafael Cantón, Mª Dolores Folgueira, Rafael Delgado, Jesús Mingorance  "
